image_id,observation_id,filename,local_only
IMG-001,OBS-0001,biodiversity_observation_001.jpg,True
IMG-002,OBS-0005,biodiversity_observation_002.jpg,True
IMG-003,OBS-0009,biodiversity_observation_003.jpg,True
IMG-004,OBS-0013,biodiversity_observation_004.jpg,True
IMG-005,OBS-0017,biodiversity_observation_005.jpg,True
IMG-006,OBS-0021,biodiversity_observation_006.jpg,True
IMG-007,OBS-0025,biodiversity_observation_007.jpg,True
IMG-008,OBS-0029,biodiversity_observation_008.jpg,True
IMG-009,OBS-0033,biodiversity_observation_009.jpg,True
IMG-010,OBS-0037,biodiversity_observation_010.jpg,True
IMG-011,OBS-0041,biodiversity_observation_011.jpg,True
IMG-012,OBS-0045,biodiversity_observation_012.jpg,True
IMG-013,OBS-0049,biodiversity_observation_013.jpg,True
IMG-014,OBS-0053,biodiversity_observation_014.jpg,True
IMG-015,OBS-0057,biodiversity_observation_015.jpg,True
IMG-016,OBS-0061,biodiversity_observation_016.jpg,True
IMG-017,OBS-0065,biodiversity_observation_017.jpg,True
IMG-018,OBS-0069,biodiversity_observation_018.jpg,True
IMG-019,OBS-0073,biodiversity_observation_019.jpg,True
IMG-020,OBS-0077,biodiversity_observation_020.jpg,True
IMG-021,OBS-0081,biodiversity_observation_021.jpg,True
IMG-022,OBS-0085,biodiversity_observation_022.jpg,True
IMG-023,OBS-0089,biodiversity_observation_023.jpg,True
IMG-024,OBS-0093,biodiversity_observation_024.jpg,True
